id,original,surface,pronunciation,status,image,image_page,wikidata,capital,continent,population,area_km2,established_year,description
10,バハマ,バハマ,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_the_Bahamas.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Bahamas.svg,Q778,ナッソー,北アメリカ,399440,13878,1973,バハマ国（バハマこく、（英語: Commonwealth of The Bahamas） 通称バハマは、西インド諸島のバハマ諸島を領有する国家。
10,バハマ国,バハマ国,バハマコク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_the_Bahamas.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Bahamas.svg,Q778,ナッソー,北アメリカ,399440,13878,1973,バハマ国（バハマこく、（英語: Commonwealth of The Bahamas） 通称バハマは、西インド諸島のバハマ諸島を領有する国家。
11,バーレーン,バーレーン,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Bahrain.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Bahrain.svg,Q398,マナーマ,アジア,1569666,786.5,1971,バーレーン王国、通称バーレーンは、西アジア・中東に位置し、ペルシア湾のバーレーン島および大小33の島（ムハッラク島など）からなる立憲君主制国家。首都はマナーマ。
11,バーレーン王国,バーレーン王国,バーレーンオウコク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Bahrain.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Bahrain.svg,Q398,マナーマ,アジア,1569666,786.5,1971,バーレーン王国、通称バーレーンは、西アジア・中東に位置し、ペルシア湾のバーレーン島および大小33の島（ムハッラク島など）からなる立憲君主制国家。首都はマナーマ。
12,バングラデシュ,バングラデシュ,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Bangladesh.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Bangladesh.svg,Q902,ダッカ,アジア,171466990,147570,1971,バングラデシュ人民共和国、南アジアにある共和制国家。通称はバングラデシュ。首都はダッカである。北と東西の三方はインド、南東部はミャンマーと国境を接する。
12,バングラデシュ人民共和国,バングラデシュ人民共和国,バングラデシュジンミンキョウワコク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Bangladesh.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Bangladesh.svg,Q902,ダッカ,アジア,171466990,147570,1971,バングラデシュ人民共和国、南アジアにある共和制国家。通称はバングラデシュ。首都はダッカである。北と東西の三方はインド、南東部はミャンマーと国境を接する。
13,バルバドス,バルバドス,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Barbados.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Barbados.svg,Q244,ブリッジタウン,北アメリカ,303431,439,1966,カリブ海、西インド諸島内の小アンティル諸島東端にある共和制国家。首都はブリッジタウン。
14,ベラルーシ,ベラルーシ,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Belarus.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Belarus.svg,Q184,ミンスク,ヨーロッパ,9056080,207596.76,882,ベラルーシ共和国、通称ベラルーシは、東ヨーロッパの共和制国家。首都はミンスク。
14,ベラルーシ共和国,ベラルーシ共和国,ベラルーシキョウワコク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Belarus.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Belarus.svg,Q184,ミンスク,ヨーロッパ,9056080,207596.76,882,ベラルーシ共和国、通称ベラルーシは、東ヨーロッパの共和制国家。首都はミンスク。
15,ベルギー,ベルギー,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Belgium.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Belgium.svg,Q31,ブリュッセル市,ヨーロッパ,11825551,30688,1830,ベルギー王国、通称 ベルギーは、西ヨーロッパに位置する連邦立憲君主制国家。隣国のオランダ、ルクセンブルクと合わせてベネルクスと呼ばれる。
15,ベルギー王国,ベルギー王国,ベルギーオウコク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Belgium.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Belgium.svg,Q31,ブリュッセル市,ヨーロッパ,11825551,30688,1830,ベルギー王国、通称 ベルギーは、西ヨーロッパに位置する連邦立憲君主制国家。隣国のオランダ、ルクセンブルクと合わせてベネルクスと呼ばれる。
16,ベリーズ,ベリーズ,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Belize.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Belize.svg,Q242,ベルモパン,中央アメリカ,411106,22966,1981,中央アメリカ北東部、ユカタン半島の付け根に位置し英連邦王国に属する立憲君主制の国家である。首都はベルモパン。
17,ベナン,ベナン,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Benin.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Benin.svg,Q962,ポルトノボ,アフリカ,14111034,114763,1960,ベナン共和国、通称ベナンは、西アフリカの共和制国家である。
17,ベナン共和国,ベナン共和国,ベナンキョウワコク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Benin.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Benin.svg,Q962,ポルトノボ,アフリカ,14111034,114763,1960,ベナン共和国、通称ベナンは、西アフリカの共和制国家である。
18,ブータン,ブータン,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Bhutan.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Bhutan.svg,Q917,ティンプー,アジア,787424,38394,1907,ブータン王国、通称ブータンは、南アジアに位置する立憲君主制国家。首都はティンプー。北は中国、東西南はインドと国境を接する。国教は仏教（ロ・ドゥク派）。
18,ブータン王国,ブータン王国,ブータンオウコク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Bhutan.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Bhutan.svg,Q917,ティンプー,アジア,787424,38394,1907,ブータン王国、通称ブータンは、南アジアに位置する立憲君主制国家。首都はティンプー。北は中国、東西南はインドと国境を接する。国教は仏教（ロ・ドゥク派）。
19,ボリビア,ボリビア,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Bolivia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Bolivia.svg,Q750,スクレ/ラパス,南アメリカ,12244159,1098581,1825,ボリビア多民族国は、南アメリカ大陸西部にある立憲共和制国家。憲法上の首都はスクレだが、ラパスが実質的な首都機能を担っており、議会をはじめとした政府主要機関が所在する。
19,ボリビア多民族国,ボリビア多民族国,ボリビアタミンゾクコク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Bolivia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Bolivia.svg,Q750,スクレ/ラパス,南アメリカ,12244159,1098581,1825,ボリビア多民族国は、南アメリカ大陸西部にある立憲共和制国家。憲法上の首都はスクレだが、ラパスが実質的な首都機能を担っており、議会をはじめとした政府主要機関が所在する。
20,ボツワナ,ボツワナ,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Botswana.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Botswana.svg,Q963,ハボローネ,アフリカ,2480244,581737,1966,ボツワナ共和国、通称ボツワナは、南部アフリカに位置する共和制国家。イギリス連邦加盟国である。
20,ボツワナ共和国,ボツワナ共和国,ボツワナキョウワコク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Botswana.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Botswana.svg,Q963,ハボローネ,アフリカ,2480244,581737,1966,ボツワナ共和国、通称ボツワナは、南部アフリカに位置する共和制国家。イギリス連邦加盟国である。
21,ブラジル,ブラジル,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Brazil.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Brazil.svg,Q155,ブラジリア,南アメリカ,213421037,8515767,1549,ブラジル連邦共和国、通称ブラジルは、南アメリカに位置する連邦共和制国家。首都はブラジリア。
21,ブラジル連邦共和国,ブラジル連邦共和国,ブラジルレンポウキョウワコク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Brazil.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Brazil.svg,Q155,ブラジリア,南アメリカ,213421037,8515767,1549,ブラジル連邦共和国、通称ブラジルは、南アメリカに位置する連邦共和制国家。首都はブラジリア。
22,ブルガリア,ブルガリア,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Bulgaria.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Bulgaria.svg,Q219,ソフィア,ヨーロッパ,6423207,110993.6,1878,ブルガリア共和国、通称ブルガリアは、東南ヨーロッパに位置する共和制国家。
22,ブルガリア共和国,ブルガリア共和国,ブルガリアキョウワコク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Bulgaria.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Bulgaria.svg,Q219,ソフィア,ヨーロッパ,6423207,110993.6,1878,ブルガリア共和国、通称ブルガリアは、東南ヨーロッパに位置する共和制国家。
23,ブルンジ,ブルンジ,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Burundi.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Burundi.svg,Q967,ギテガ,アフリカ,13689450,27834,1962,ブルンジ共和国、通称ブルンジは、東アフリカの内陸部にある国家。ルワンダ、コンゴ民主共和国、タンザニアと国境を接する。
23,ブルンジ共和国,ブルンジ共和国,ブルンジキョウワコク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Burundi.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Burundi.svg,Q967,ギテガ,アフリカ,13689450,27834,1962,ブルンジ共和国、通称ブルンジは、東アフリカの内陸部にある国家。ルワンダ、コンゴ民主共和国、タンザニアと国境を接する。
24,カンボジア,カンボジア,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Cambodia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Cambodia.svg,Q424,プノンペン,アジア,17423880,181035,1953,カンボジア王国、通称カンボジアは、東南アジアのインドシナ半島南部に位置する立憲君主制国家。東南アジア諸国連合加盟国であり、通貨はリエルである。人口1671万人、首都はプノンペン都。
24,カンボジア王国,カンボジア王国,カンボジアオウコク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Cambodia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Cambodia.svg,Q424,プノンペン,アジア,17423880,181035,1953,カンボジア王国、通称カンボジアは、東南アジアのインドシナ半島南部に位置する立憲君主制国家。東南アジア諸国連合加盟国であり、通貨はリエルである。人口1671万人、首都はプノンペン都。
25,カメルーン,カメルーン,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Cameroon.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Cameroon.svg,Q1009,ヤウンデ,アフリカ,28372687,475442,1960,カメルーン共和国、通称カメルーンは、アフリカ大陸西部に位置する共和制国家である。
25,カメルーン共和国,カメルーン共和国,カメルーンキョウワコク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Cameroon.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Cameroon.svg,Q1009,ヤウンデ,アフリカ,28372687,475442,1960,カメルーン共和国、通称カメルーンは、アフリカ大陸西部に位置する共和制国家である。
26,フランス,フランス,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_France.svg,https://commons.wikimedia.org/wiki/File:Flag_of_France.svg,Q142,パリ,ヨーロッパ,68605616,643801,481,西ヨーロッパに位置する共和制国家。首都および最大都市はパリ。
26,フランス共和国,フランス共和国,フランスキョウワコク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_France.svg,https://commons.wikimedia.org/wiki/File:Flag_of_France.svg,Q142,パリ,ヨーロッパ,68605616,643801,481,西ヨーロッパに位置する共和制国家。首都および最大都市はパリ。
27,ガボン,ガボン,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Gabon.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Gabon.svg,Q1000,リーブルヴィル,アフリカ,2300000,267667,1960,中部アフリカに位置する共和制国家。北西に赤道ギニア、北にカメルーン、南と東にコンゴ共和国と国境を接し、西は大西洋のギニア湾に面している。首都はリーブルヴィルである。
27,ガボン共和国,ガボン共和国,ガボンキョウワコク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Gabon.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Gabon.svg,Q1000,リーブルヴィル,アフリカ,2300000,267667,1960,中部アフリカに位置する共和制国家。北西に赤道ギニア、北にカメルーン、南と東にコンゴ共和国と国境を接し、西は大西洋のギニア湾に面している。首都はリーブルヴィルである。
28,ガンビア,ガンビア,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_The_Gambia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_The_Gambia.svg,Q1005,バンジュール,アフリカ,2639916,11300,1965,ガンビア共和国、通称ガンビアは、西アフリカ西岸に位置する共和制国家。西はガンビア川河口がある北大西洋に面しており、それ以外の三方はセネガルに囲まれた陸地国境となっている。
28,ガンビア共和国,ガンビア共和国,ガンビアキョウワコク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_The_Gambia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_The_Gambia.svg,Q1005,バンジュール,アフリカ,2639916,11300,1965,ガンビア共和国、通称ガンビアは、西アフリカ西岸に位置する共和制国家。西はガンビア川河口がある北大西洋に面しており、それ以外の三方はセネガルに囲まれた陸地国境となっている。
29,グルジア,グルジア,,former,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Georgia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Georgia.svg,Q230,トビリシ,ヨーロッパ,3694600,69700,1008,ジョージアは、ユーラシア大陸の南コーカサスにある共和制国家。首都はトビリシ。ヨーロッパとアジアの境にあり、東ヨーロッパと西アジアのいずれにも区分されることがある。
29,ジョージア,ジョージア,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Georgia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Georgia.svg,Q230,トビリシ,ヨーロッパ,3694600,69700,1008,ジョージアは、ユーラシア大陸の南コーカサスにある共和制国家。首都はトビリシ。ヨーロッパとアジアの境にあり、東ヨーロッパと西アジアのいずれにも区分されることがある。
30,ドイツ,ドイツ,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Germany.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Germany.svg,Q183,ベルリン,ヨーロッパ,83577140,357587.77,641,ドイツ連邦共和国は、中央ヨーロッパおよび広義の西ヨーロッパに位置する連邦共和制国家である。
30,ドイツ連邦共和国,ドイツ連邦共和国,ドイツレンポウキョウワコク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Germany.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Germany.svg,Q183,ベルリン,ヨーロッパ,83577140,357587.77,641,ドイツ連邦共和国は、中央ヨーロッパおよび広義の西ヨーロッパに位置する連邦共和制国家である。
31,ガーナ,ガーナ,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Ghana.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Ghana.svg,Q117,アクラ,アフリカ,32833031,238535,1957,ガーナ共和国、通称ガーナは、西アフリカにある共和制国家。イギリス連邦加盟国。東はトーゴ、北はブルキナファソ、西はコートジボワールと国境を接し、南は大西洋に面する。首都はアクラ。
31,ガーナ共和国,ガーナ共和国,ガーナキョウワコク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Ghana.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Ghana.svg,Q117,アクラ,アフリカ,32833031,238535,1957,ガーナ共和国、通称ガーナは、西アフリカにある共和制国家。イギリス連邦加盟国。東はトーゴ、北はブルキナファソ、西はコートジボワールと国境を接し、南は大西洋に面する。首都はアクラ。
32,ギリシャ,ギリシャ,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Greece.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Greece.svg,Q41,アテネ,ヨーロッパ,10566531,131957,1821,南ヨーロッパに位置する共和制国家。ギリシャの人口は約1 041万人、面積は日本の約3分の1である。
32,ギリシア,ギリシア,ギリシア,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Greece.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Greece.svg,Q41,アテネ,ヨーロッパ,10566531,131957,1821,南ヨーロッパに位置する共和制国家。ギリシャの人口は約1 041万人、面積は日本の約3分の1である。
32,ギリシャ共和国,ギリシャ共和国,ギリシャキョウワコク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Greece.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Greece.svg,Q41,アテネ,ヨーロッパ,10566531,131957,1821,南ヨーロッパに位置する共和制国家。ギリシャの人口は約1 041万人、面積は日本の約3分の1である。
33,グレナダ,グレナダ,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Grenada.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Grenada.svg,Q769,セントジョージズ,北アメリカ,114299,348.5,1974,カリブ海の小アンティル諸島南部にある立憲君主制国家。首都はセントジョージズである。英連邦王国のひとつであり、イギリス連邦加盟国。
34,グアテマラ,グアテマラ,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Guatemala.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Guatemala.svg,Q774,グアテマラシティ,北アメリカ,17263239,108889,1821,グアテマラ共和国、通称グアテマラは、中央アメリカ北部に位置する共和制国家である。
34,グアテマラ共和国,グアテマラ共和国,グアテマラキョウワコク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Guatemala.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Guatemala.svg,Q774,グアテマラシティ,北アメリカ,17263239,108889,1821,グアテマラ共和国、通称グアテマラは、中央アメリカ北部に位置する共和制国家である。
35,ギニア,ギニア,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Guinea.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Guinea.svg,Q1006,コナクリ,アフリカ,17521167,245857,1958,ギニア共和国、通称ギニアは、西アフリカにある共和制国家。
35,ギニア共和国,ギニア共和国,ギニアキョウワコク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Guinea.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Guinea.svg,Q1006,コナクリ,アフリカ,17521167,245857,1958,ギニア共和国、通称ギニアは、西アフリカにある共和制国家。
36,ギニアビサウ,ギニアビサウ,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Guinea-Bissau.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Guinea-Bissau.svg,Q1007,ビサウ,アフリカ,1861283,36125,1974,ギニアビサウ共和国、通称ギニアビサウは、西アフリカにある共和制国家。北はセネガル、南と南東はギニアと国境を接し、西は大西洋に面する。首都はビサウである。
36,ギニアビサウ共和国,ギニアビサウ共和国,ギニアビサウキョウワコク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Guinea-Bissau.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Guinea-Bissau.svg,Q1007,ビサウ,アフリカ,1861283,36125,1974,ギニアビサウ共和国、通称ギニアビサウは、西アフリカにある共和制国家。北はセネガル、南と南東はギニアと国境を接し、西は大西洋に面する。首都はビサウである。
